seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred
8793,98,3.5988955544502264,0.3921568627450981,0.11372549019607843,5,2,2
34897,179,4.264653143690136,0.3921568627450981,0.0039215686274509665,0,6,3
21530,153,4.190575464304394,0.3921568627450981,0.00392156862745098,8,3,2
6972,93,3.0760775314714066,0.3921568627450981,0.0039215686274509665,2,7,4
20148,91,3.559576974205519,0.3921568627450981,0.25098039215686274,2,3,2
4195,88,3.3361694970018947,0.3921568627450981,0.00392156862745098,4,9,2
1012,146,3.8646039122648537,0.3921568627450981,0.0039215686274509665,2,7,4
38908,154,3.9407296595813173,0.3921568627450981,0.007843137254901933,3,8,3
25795,121,3.531631110500302,0.3921568627450981,0.0039215686274509665,2,7,2
9472,189,4.325861715863683,0.3921568627450981,0.0039215686274509665,6,8,2
16377,98,3.466203056569727,0.3921568627450981,0.07058823529411765,4,9,2
25971,144,4.568827732713401,0.3921568627450981,0.25098039215686274,4,2,2
28716,192,4.2793676299860115,0.3921568627450981,0.007843137254901933,2,7,3
16820,99,3.524310038245038,0.3921568627450981,0.11372549019607843,7,9,2
26075,167,4.1971411518460755,0.3921568627450981,0.0039215686274509665,6,0,3
34317,116,3.5330634703586163,0.3921568627450981,0.007843137254901933,0,5,3
6580,83,2.8296230540868716,0.3921568627450981,0.011764705882352941,4,1,3
13964,229,4.494302429216297,0.3921568627450981,0.0039215686274509665,3,5,2
21068,118,3.8352459999387443,0.3921568627450981,0.01568627450980392,4,2,2
13031,98,3.1641032543321588,0.3921568627450981,0.011764705882352941,7,5,2
24879,154,4.443552582564731,0.3921568627450981,0.023529411764705882,4,9,2
37811,144,3.733850269039083,0.3921568627450981,0.0039215686274509665,3,5,2
30818,145,4.367560682229447,0.3921568627450981,0.01568627450980392,8,9,2
13838,118,4.007023821707054,0.3921568627450981,0.0196078431372549,4,9,2
21134,232,4.719625357380928,0.3921568627450981,0.007843137254901933,2,0,7
29232,166,4.073220653219221,0.3921568627450981,0.007843137254901933,2,7,3
26101,162,4.496715876243989,0.3921568627450981,0.01568627450980392,8,3,2
33518,143,3.798069077797715,0.3921568627450981,0.007843137254901933,3,9,4
36460,181,4.01008915999713,0.3921568627450981,0.0039215686274509665,2,6,9
3215,158,3.8117465504288037,0.3921568627450981,0.0039215686274509665,2,7,3
39960,165,4.087578355080138,0.3921568627450981,0.0039215686274509665,2,7,2
9738,96,3.370131372384173,0.3921568627450981,0.023529411764705882,4,9,2
35196,151,3.9256919499190666,0.3921568627450981,0.0039215686274509665,2,7,2
16029,196,4.815014004298606,0.3921568627450981,0.00392156862745098,8,3,2
