seed_index,true_label,original_prediction,modified_prediction,is_valid,diff_pixels,l0_distance,l1_distance,l2_distance,linf_distance
6001,8,8,6,True,634,634.0,106.87058823529412,4.456903720384782,0.1960784313725491
24015,8,8,1,True,470,470.0,74.7764705882353,3.741591624106512,0.1960784313725491
54022,5,5,7,True,314,314.0,50.38431372549019,3.070109896881735,0.1960784313725491
36027,8,8,4,True,431,431.0,79.12941176470588,3.9164437100643053,0.1960784313725491
18031,4,4,5,True,703,703.0,81.36078431372549,3.6302268128593242,0.1960784313725491
42036,4,4,2,True,452,452.0,82.7843137254902,4.011663119485088,0.1960784313725492
36,3,3,6,True,355,355.0,55.40392156862744,3.1812310008088844,0.1960784313725491
36044,0,0,3,True,338,338.0,64.61568627450981,3.5390652295432385,0.1960784313725491
24054,6,6,0,True,454,454.0,75.72549019607843,3.673000715498891,0.1960784313725491
36054,4,4,3,True,325,325.0,57.035294117647055,3.2817883179189624,0.1960784313725492
30055,8,8,0,True,484,484.0,87.78039215686275,4.100610882745133,0.1960784313725491
18059,7,7,5,True,220,220.0,30.258823529411764,2.2481570050291912,0.1960784313725491
36065,3,3,2,True,430,430.0,78.74901960784314,3.8614708757293656,0.1960784313725491
6069,1,1,5,True,431,431.0,80.41960784313724,3.9531104072085013,0.1960784313725491
54070,1,1,3,True,253,253.0,47.29019607843137,3.0256700034252026,0.1960784313725491
78,2,2,3,True,560,560.0,98.41960784313724,4.303997944741952,0.1960784313725491
36077,6,6,0,True,514,514.0,91.67058823529412,4.158257257765669,0.1960784313725491
54075,0,0,5,True,456,456.0,66.09019607843138,3.4191018693852007,0.1960784313725491
54080,7,7,5,True,348,348.0,55.79607843137255,3.1822991792300757,0.1960784313725491
42084,6,6,4,True,473,473.0,76.55686274509804,3.6749345810935448,0.1960784313725491
6104,9,9,5,True,374,374.0,64.2078431372549,3.5116700045255325,0.1960784313725491
36116,6,6,0,True,520,520.0,71.1764705882353,3.2784360634172276,0.1960784313725491
36118,2,2,3,True,446,446.0,83.61176470588235,4.036921107247922,0.1960784313725492
48123,8,8,5,True,308,308.0,58.79607843137255,3.3752451603326676,0.1960784313725491
128,9,9,5,True,388,388.0,60.33333333333333,3.2777347041005633,0.1960784313725491
42134,5,5,7,True,341,341.0,60.027450980392146,3.399963814629797,0.1960784313725491
6142,0,0,3,True,321,321.0,61.51372549019608,3.467061462747198,0.1960784313725492
54141,7,7,5,True,203,203.0,35.47450980392157,2.5990386534904713,0.1960784313725491
42146,3,3,6,True,433,433.0,78.14901960784313,3.8896149154763227,0.1960784313725491
54144,3,3,6,True,347,347.0,62.22745098039216,3.437800142431242,0.1960784313725491
162,1,1,5,True,500,500.0,40.04313725490196,2.3794293365647,0.1960784313725492
169,8,8,0,True,493,493.0,72.29803921568627,3.5109363930462933,0.1960784313725491
18170,6,6,4,True,472,472.0,82.8156862745098,3.914067335457772,0.1960784313725491
42181,1,1,8,True,519,519.0,95.3686274509804,4.293716518107599,0.1960784313725491
54185,4,4,2,True,464,464.0,86.98823529411763,4.107101341605676,0.1960784313725491
187,4,4,2,True,499,499.0,95.59607843137253,4.3187617659556485,0.1960784313725491
6189,8,8,5,True,390,390.0,66.99215686274509,3.5129923079600154,0.1960784313725491
48210,0,0,8,True,651,651.0,79.22745098039216,3.4164921045794316,0.1960784313725492
18215,7,7,5,True,274,274.0,45.29019607843137,2.8965848456038055,0.1960784313725491
24226,1,1,3,True,217,217.0,40.34901960784313,2.7830182017763887,0.1960784313725491
24231,6,6,4,True,534,534.0,49.09803921568627,2.4292843657744627,0.1960784313725491
54226,6,6,5,True,516,516.0,84.90588235294118,3.8795652499034428,0.1960784313725491
6244,0,0,6,True,495,495.0,68.64705882352942,3.4736753745073345,0.1960784313725492
42248,6,6,4,True,459,459.0,85.65098039215685,4.062565292409982,0.1960784313725491
36251,8,8,5,True,388,388.0,67.59607843137255,3.56165878525385,0.1960784313725491
42255,3,3,0,True,297,297.0,42.53333333333333,2.684267176152913,0.1960784313725491
6254,2,2,6,True,445,445.0,80.73725490196078,3.9052365794217088,0.1960784313725491
48257,1,1,0,True,446,446.0,55.3843137254902,3.0393421858556877,0.1960784313725491
30261,3,3,8,True,453,453.0,68.42745098039215,3.402075491087584,0.1960784313725491
54261,2,2,5,True,514,514.0,64.25490196078431,3.1451396017008295,0.1960784313725491
36277,6,6,5,True,525,525.0,80.7843137254902,3.666064750846744,0.1960784313725491
276,4,4,5,True,479,479.0,48.41960784313725,2.5767153015966873,0.1960784313725491
6285,4,4,6,True,469,469.0,87.6,4.129901466224442,0.1960784313725492
18284,6,6,0,True,534,534.0,87.49411764705881,3.9886555777548196,0.1960784313725491
6300,6,6,4,True,481,481.0,81.29019607843136,3.8952666985491295,0.1960784313725491
36305,6,6,4,True,533,533.0,86.63529411764706,3.8859678159982542,0.1960784313725491
54303,7,7,5,True,289,289.0,37.8078431372549,2.5028856855825827,0.1960784313725491
54304,7,7,5,True,248,248.0,38.81568627450981,2.6691510918158876,0.1960784313725491
48325,6,6,8,True,439,439.0,67.52941176470588,3.418955685249647,0.1960784313725491
42333,8,8,7,True,359,359.0,64.52941176470588,3.492559235221935,0.1960784313725491
36340,4,4,6,True,448,448.0,76.2627450980392,3.7700064808725253,0.1960784313725491
336,6,6,0,True,444,444.0,48.61176470588235,2.5909492604011155,0.1960784313725491
42344,6,6,0,True,417,417.0,68.65098039215687,3.624526643185119,0.1960784313725491
345,4,4,6,True,526,526.0,93.91764705882352,4.249205548018571,0.1960784313725491
352,3,3,5,True,250,250.0,25.537254901960782,1.8083577167364102,0.1960784313725491
6355,7,7,5,True,260,260.0,40.18039215686274,2.694354529072827,0.1960784313725492
24361,9,9,5,True,406,406.0,71.52549019607842,3.704267725860535,0.1960784313725491
6371,7,7,5,True,256,256.0,42.086274509803914,2.794535228514105,0.1960784313725491
6377,4,4,2,True,475,475.0,90.10980392156861,4.193845841828374,0.1960784313725491
6386,6,6,4,True,492,492.0,35.72549019607843,2.026764399998839,0.19607843137254907
6392,8,8,5,True,403,403.0,72.87450980392157,3.7421731726131346,0.1960784313725491
393,7,7,5,True,335,335.0,56.78431372549019,3.2491515468968264,0.1960784313725491
36400,1,1,2,True,433,433.0,74.04705882352941,3.7316934938684247,0.1960784313725491
6398,3,3,0,True,552,552.0,60.38823529411765,2.9060517004979345,0.1960784313725491
24404,6,6,0,True,482,482.0,59.325490196078434,2.889070470145833,0.19607843137254904
36408,8,8,5,True,464,464.0,79.53333333333333,3.860634438780263,0.1960784313725491
403,7,7,5,True,248,248.0,36.12156862745098,2.4941268960242864,0.1960784313725491
36410,7,7,5,True,325,325.0,42.937254901960785,2.6549193384318466,0.1960784313725491
18409,6,6,4,True,410,410.0,71.50980392156862,3.692491628321054,0.1960784313725491
48412,7,7,5,True,369,369.0,60.25882352941177,3.306461466267578,0.1960784313725491
48415,6,6,4,True,585,585.0,93.19999999999999,4.019950248448356,0.1960784313725491
30422,8,8,6,True,578,578.0,105.70196078431371,4.518828140817457,0.1960784313725491
36431,6,6,4,True,525,525.0,63.23137254901961,3.006536516055644,0.1960784313725491
24440,8,8,7,True,412,412.0,72.26274509803922,3.707819806855189,0.1960784313725491
36442,7,7,5,True,237,237.0,35.10980392156863,2.511975163765682,0.1960784313725491
42445,6,6,5,True,500,500.0,87.67450980392157,4.0006439312524975,0.1960784313725491
54436,8,8,5,True,349,349.0,57.27450980392157,3.2981138225689737,0.1960784313725491
6443,8,8,6,True,625,625.0,114.27843137254901,4.670094308846223,0.1960784313725491
54442,3,3,0,True,290,290.0,32.16470588235294,2.303159657079312,0.1960784313725491
18455,7,7,5,True,259,259.0,34.5843137254902,2.3892782422796937,0.1960784313725491
30471,7,7,5,True,466,466.0,82.05098039215686,3.9570803881145458,0.1960784313725491
473,7,7,5,True,327,327.0,49.494117647058815,2.966352380226515,0.1960784313725491
42484,1,1,5,True,543,543.0,82.56078431372549,3.7852117191188133,0.1960784313725491
487,6,6,4,True,486,486.0,66.06666666666666,3.148619123313993,0.1960784313725491
18489,4,4,5,True,442,442.0,57.45490196078431,2.99836428558658,0.1960784313725491
42504,3,3,1,True,496,496.0,51.023529411764706,2.701420020447446,0.1960784313725491
42512,6,6,2,True,486,486.0,80.93333333333334,3.940819416076671,0.1960784313725491
512,3,3,4,True,349,349.0,60.47450980392156,3.3693486867429727,0.1960784313725491
48518,4,4,2,True,445,445.0,80.2392156862745,3.887536646318667,0.1960784313725491
533,2,2,1,True,445,445.0,46.8156862745098,2.5677681544264432,0.1960784313725491
36549,6,6,0,True,504,504.0,58.847058823529416,2.855925263707026,0.1960784313725492
541,7,7,5,True,189,189.0,27.862745098039213,2.2562996520750214,0.1960784313725491
30548,7,7,5,True,256,256.0,28.517647058823528,2.094029520066799,0.1960784313725491
545,6,6,4,True,466,466.0,54.090196078431376,2.760848372697099,0.1960784313725491
18550,7,7,5,True,263,263.0,32.32156862745098,2.3024985175453927,0.1960784313725491
48556,1,1,4,True,548,548.0,103.36470588235295,4.48572257677127,0.1960784313725492
6565,9,9,5,True,401,401.0,69.34509803921569,3.6216721324529835,0.1960784313725492
54575,8,8,5,True,381,381.0,62.062745098039215,3.2849592576021567,0.1960784313725491
42597,8,8,5,True,382,382.0,65.24313725490194,3.5436813931594537,0.1960784313725491
591,2,2,3,True,478,478.0,72.10588235294117,3.573848798228997,0.1960784313725491
24608,7,7,5,True,322,322.0,53.99607843137255,3.1690035692128795,0.1960784313725491
24614,6,6,4,True,482,482.0,43.00392156862745,2.339635581859187,0.1960784313725491
612,0,0,5,True,512,512.0,84.72156862745098,3.915477622647889,0.1960784313725491
36623,8,8,6,True,616,616.0,113.70196078431371,4.689051601463154,0.1960784313725491
617,3,3,6,True,310,310.0,51.83921568627451,3.0834429046274967,0.1960784313725491
24627,7,7,5,True,265,265.0,46.05490196078431,2.969572724887668,0.1960784313725491
625,0,0,5,True,455,455.0,27.93333333333333,1.6281689887893587,0.1960784313725491
36634,4,4,2,True,478,478.0,90.58431372549019,4.2030380253846955,0.1960784313725491
54621,6,6,5,True,505,505.0,85.77254901960785,3.9309378274145788,0.1960784313725491
48630,0,0,8,True,424,424.0,61.035294117647055,3.234844888597782,0.1960784313725491
30634,6,6,2,True,464,464.0,78.52941176470588,3.8411579536932705,0.1960784313725491
6628,0,0,8,True,496,496.0,90.75686274509803,4.199465373050962,0.1960784313725492
48633,8,8,5,True,460,460.0,63.364705882352936,3.3083632214315863,0.1960784313725491
24642,6,6,4,True,459,459.0,77.32941176470588,3.7868080776753463,0.1960784313725491
24647,4,4,2,True,429,429.0,80.22745098039215,3.9547770402272353,0.1960784313725492
643,6,6,4,True,525,525.0,96.01568627450979,4.281871696007346,0.1960784313725491
36656,7,7,5,True,202,202.0,29.549019607843135,2.299046155622464,0.1960784313725491
