seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred
23327,173,4.172556390970932,0.3921568627450981,0.0039215686274509665,0,8,2
5881,150,3.8093149555535066,0.3921568627450981,0.0039215686274509665,6,4,4
39195,159,3.9225743808325886,0.3921568627450981,0.007843137254901933,0,4,6
34274,94,3.07222053626567,0.3921568627450981,0.007843137254901933,9,4,3
11037,107,3.4303079581034575,0.3921568627450981,0.007843137254901933,5,7,5
1772,103,3.3771013507528083,0.3921568627450981,0.0039215686274509665,1,2,3
37553,110,3.290831694429408,0.3921568627450981,0.0039215686274509665,9,0,3
8353,101,3.2408627061869977,0.3921568627450981,0.00392156862745098,5,7,5
38072,175,4.362818681908644,0.3921568627450981,0.007843137254901933,6,4,2
10924,81,2.9681637682791147,0.3921568627450981,0.00784313725490196,2,7,4
2867,114,3.236087840842488,0.3921568627450981,0.0039215686274509665,5,1,3
37544,67,2.7326496458363736,0.3921568627450981,0.0039215686274509665,4,1,2
22661,153,4.0748306125945835,0.3921568627450981,0.007843137254901933,4,6,3
28398,111,3.1703839045560964,0.3921568627450981,0.0039215686274509665,5,9,2
24824,95,3.156767749149189,0.3921568627450981,0.0039215686274509665,0,4,3
18313,136,3.8736444218934754,0.3921568627450981,0.00784313725490196,8,2,3
39245,89,3.0632019944910933,0.3921568627450981,0.007843137254901933,9,4,2
8061,86,3.007472431587518,0.3921568627450981,0.00784313725490196,9,4,6
25073,164,4.081721900333822,0.3921568627450981,0.0039215686274509665,8,2,2
9816,102,3.2414107361099993,0.3921568627450981,0.0039215686274509665,4,6,3
29925,107,3.4448965981706414,0.3921568627450981,0.0039215686274509665,9,3,2
897,199,4.258446161015402,0.3921568627450981,0.007843137254901933,1,0,3
8062,348,5.5143014230765806,0.3921568627450981,0.0039215686274509665,0,8,2
13471,149,4.071166228940771,0.3921568627450981,0.0039215686274509665,2,4,2
20292,123,3.600085436211201,0.3921568627450981,0.0039215686274509665,5,3,3
19071,237,4.814459829775118,0.3921568627450981,0.00392156862745098,9,0,2
20343,184,4.086031756742575,0.3921568627450981,0.0039215686274509665,9,0,2
12093,89,3.2837675870182577,0.3921568627450981,0.019607843137254943,8,4,7
6198,161,3.9462653712874958,0.3921568627450981,0.0039215686274509665,8,0,2
23489,163,4.596976757554507,0.3921568627450981,0.01568627450980392,8,7,3
32557,144,3.8076028275779734,0.3921568627450981,0.0039215686274509665,2,3,7
16191,135,3.6911315519491708,0.3921568627450981,0.0039215686274509665,5,6,2
18157,62,2.710433796435484,0.3921568627450981,0.11372549019607843,7,4,8
33502,106,3.4507152304546453,0.3921568627450981,0.0039215686274509665,9,4,2
5695,257,4.853766220222088,0.3921568627450981,0.007843137254901933,5,3,3
14552,73,3.106790815841139,0.3921568627450981,0.11372549019607843,8,6,4
17878,138,3.8519047650620903,0.3921568627450981,0.0039215686274509665,5,7,5
37001,64,2.8271871732469513,0.3921568627450981,0.10196078431372549,5,6,8
24069,156,3.8759067101565043,0.3921568627450981,0.007843137254901933,9,4,3
